id,first_name,last_name,yearly_income,credit_score,dti_ratio,age
1,Ricoriki,Vanyushin,43089,380,9.43,31
2,Harper,Kinsella,52286,686,2.54,65
3,Micki,Elen,33858,509,7.8,18
4,Reinald,Killiam,26848,741,4.27,77
5,D'arcy,Brouncker,59033,554,0.78,65
6,Caspar,Langelaan,34789,359,8.12,65
7,Haley,Witchell,56205,405,3.94,39
8,Quentin,Trowler,25977,616,4.0,23
9,Garek,Lawrenceson,57466,424,2.28,67
10,Ambrosi,Acarson,57467,803,1.38,76
11,Cornelia,Methringham,30658,317,9.15,72
12,Joete,Spurryer,33245,575,5.51,52
13,Shandeigh,Lanfare,35760,480,7.83,79
14,Elane,Nealy,51104,574,7.64,80
15,Carroll,Hatchell,51986,731,8.35,42
16,Shamus,Jados,56085,569,0.95,34
17,Carny,Vennings,48754,525,4.08,25
18,Ola,Camerati,35817,736,5.78,51
19,Winnah,Gorman,42669,542,9.19,55
20,Lockwood,Greenstock,55453,780,4.52,25
21,Dill,Parzizek,55969,384,5.44,40
22,Michal,Shreenan,41474,489,1.57,58
23,Antoinette,Skacel,38486,773,7.64,80
24,Leann,Tante,45689,489,2.56,35
25,Christye,McKean,53861,632,5.85,50
26,Dalenna,Bilton,50172,390,8.27,64
27,Huntley,Urwen,19138,718,5.16,37
28,Lettie,Portman,44497,403,2.48,19
29,Frederique,Honacker,43701,324,9.07,59
30,Kane,D'orsay,35809,575,4.13,18
31,Shem,Tonbye,52442,435,4.15,64
32,Fonz,Pendreigh,41416,837,6.52,23
33,Ezmeralda,Sprull,40139,438,2.98,80
34,Nyssa,Dulinty,53974,694,8.45,68
35,Melinda,Archbould,44961,838,6.78,24
36,Gannie,Warke,47985,515,3.27,77
37,Lorraine,McLay,17196,480,6.08,61
38,Kandace,Emslie,66742,595,9.28,44
39,Stu,Salazar,40455,467,3.09,51
40,Gregoire,Tabourier,40241,415,6.69,19
41,Aridatha,Tinman,43301,625,5.74,49
42,Happy,Guerri,30874,826,3.47,20
43,Leesa,Gebbe,31325,692,8.15,24
44,Hedda,Reeveley,46355,775,6.98,56
45,Ramsay,Ranshaw,54465,600,8.55,19
46,Hermione,Gummer,47773,643,9.0,60
47,Laney,Southern,45789,363,2.59,40
48,Benoit,Zold,51044,678,9.31,19
49,Elga,Griswood,43861,839,0.95,23
50,Johnnie,Dowman,43838,479,1.35,41
51,Lilla,Kuban,57133,820,5.53,69
52,Lauraine,Duddell,60477,658,2.44,79
53,Nikkie,Townsley,36475,811,9.23,69
54,Zsazsa,Giacopello,35600,463,8.8,68
55,Xylina,Brodie,39885,624,4.13,61
56,Iver,Meeson,49395,694,5.94,42
57,Stanislaus,McQuillan,46453,316,8.47,34
58,Harrietta,Leatherbarrow,46142,718,6.02,24
59,Nonna,Sharply,41925,377,2.89,30
60,Hercules,Sudworth,46075,689,5.68,68
61,Celeste,Roux,48431,769,7.71,47
62,Vivien,Ccomini,43359,307,9.18,73
63,Susette,Kerry,42597,686,8.16,75
64,Antony,Crosoer,42764,694,3.81,76
65,Halie,Edger,51719,792,2.91,63
66,Ulla,Beavors,40039,725,6.85,40
67,Dinny,Quinnette,43347,313,0.9,47
68,Jenny,Elia,43933,681,9.44,62
69,Isabelita,Mabbett,47287,560,2.94,24
70,Sarita,Jellings,45019,395,9.35,56
71,Allyn,Wilbore,49342,574,4.89,51
72,Yolane,O'Heagertie,37465,740,0.5,48
73,Selby,Hyslop,53795,434,2.0,46
74,Kristopher,Summerfield,40495,507,8.6,45
75,Erin,Wanka,45910,694,8.28,72
76,Bernita,Wimpress,41919,712,0.21,35
77,Dar,Mannin,34841,474,9.44,57
78,Emlen,Cornewell,47461,635,1.36,36
79,Anita,Gamlyn,38935,550,0.47,41
80,Wilt,Moxson,43825,507,2.57,29
81,Laurice,Medwell,46589,358,4.77,50
82,Mamie,Bessom,32276,664,8.83,61
83,Mauricio,Rickert,59767,308,3.59,43
84,Colleen,Lunt,37458,752,1.26,30
85,Artemas,Loweth,35847,496,5.03,40
86,Emerson,Lenney,55715,715,9.19,57
87,Atalanta,Travis,51593,531,4.6,40
88,Rae,Gatecliff,45291,841,8.66,56
89,Layne,Bradnam,55700,644,4.98,44
90,Karlie,Carde,45011,715,6.65,50
91,Tomas,Woolaston,57262,585,5.35,62
92,Sande,Gladman,32222,445,6.67,69
93,Gretchen,Gladwish,33523,423,8.21,69
94,Codi,Challenger,31128,407,3.88,26
95,Joya,Roon,29148,610,0.8,26
96,Boycey,Woolaghan,38743,560,1.37,28
97,Allx,MacGow,49712,602,2.73,80
98,Wally,Lambird,33445,578,4.39,77
99,Theo,Drynan,33221,498,3.66,24
100,Jack,Carme,56859,803,5.88,39
101,Marcel,Snead,57380,795,4.79,35
102,Udall,Fairham,52449,391,5.89,70
103,Merwin,Skellorne,32985,412,8.33,65
104,Bart,Labrone,38673,535,2.59,60
105,Ede,Shepcutt,26763,625,6.8,36
106,Amie,Buckwell,35989,655,4.24,22
107,Odell,Whitten,32467,624,0.09,77
108,Brietta,Seale,34636,632,8.76,37
109,Lorenza,Timlin,36845,418,7.13,72
110,Barnard,Franc,55756,420,5.48,65
111,Alyosha,Scibsey,54172,326,1.81,55
112,Andris,Fallanche,54660,789,9.2,38
113,Debee,Smurfitt,38737,703,0.15,25
114,Ramona,Beldom,34684,731,4.76,69
115,Ivonne,Mincini,63259,653,5.97,50
116,Yolanda,Klink,47636,647,2.39,55
117,Zacharia,Gallymore,45636,521,3.06,40
118,Mano,Ruckman,37080,755,6.69,30
119,Allina,Tomaino,39768,475,5.29,79
120,Alina,Valerius,41783,512,6.98,64
121,Herbert,Phittiplace,45201,549,4.8,44
122,Malina,Eakeley,59732,323,5.79,58
123,Holt,Beckey,43438,439,1.29,38
124,Lida,Duker,45167,814,3.27,61
125,Prince,Gerran,39435,728,5.49,26
126,Izabel,Quernel,70475,745,0.19,79
127,Hermon,Le Quesne,43908,392,6.65,40
128,Keelby,Lishmund,36914,698,6.62,66
129,Boy,Popplestone,53625,471,0.7,63
130,Biron,Bruckent,20770,481,0.23,33
131,Denna,Attenbrow,56958,741,2.43,52
132,Michelle,Beardon,42158,730,2.54,33
133,Meg,Jelks,39814,448,0.49,46
134,Drucie,MacClenan,27644,718,4.2,30
135,Mildrid,Saiz,41377,452,7.73,34
136,Audrie,McCaghan,51032,316,1.11,39
137,Siana,Todeo,62474,354,9.7,18
138,Shandeigh,Cason,41352,640,3.27,71
139,Alejandra,Deignan,47374,844,7.56,42
140,Kain,Kydde,49899,387,2.54,72
141,Art,Spire,36570,319,1.41,22
142,Missie,Bouzan,40261,655,7.18,20
143,Alysa,Wilkowski,45264,532,2.63,72
144,Giordano,Walley,43885,348,3.92,53
145,Kinsley,Royden,39287,426,9.42,37
146,Alexine,Clemendet,53394,753,9.79,31
147,Ozzie,Minall,54905,423,4.27,43
148,Ricky,McIlwrath,49459,533,2.19,41
149,Becka,Dumini,45912,703,8.76,72
150,Olly,Gouldthorpe,27807,709,7.78,70
151,Fiorenze,Kent,26766,661,5.29,41
152,Kira,Rizzotto,53457,693,6.55,42
153,Em,Blewis,34424,624,4.34,59
154,Delmore,Shadrach,55023,720,4.47,61
155,Ethe,Ozintsev,33226,533,9.64,75
156,Nata,Macveigh,31498,460,9.01,74
157,Carlos,Skellorne,30328,617,9.38,77
158,Michael,Piggens,47358,776,8.58,30
159,Kile,Hutcheons,35316,399,1.53,20
160,Ardelia,Dybell,54731,797,0.07,77
161,Boyce,Paolicchi,48359,489,9.48,29
162,Padraic,Cawsey,38196,556,2.74,78
163,Merilee,Ismay,34729,426,5.01,76
164,Gaston,Aiskovitch,49652,550,4.75,41
165,Ethelda,Huffadine,46320,728,4.9,72
166,Carmel,Sacchetti,49936,718,9.61,57
167,Bealle,Eskell,52650,366,4.03,55
168,Griffin,Pellamonuten,41805,824,0.55,68
169,Kellina,Marton,43841,654,4.07,29
170,Sutton,Gatfield,48138,383,6.06,62
171,Carolyn,La Padula,45128,330,5.25,23
172,Lari,McKinnell,55735,351,4.0,33
173,Justus,Markus,30243,411,6.31,56
174,Randee,Besantie,27415,620,3.8,27
175,Rozalie,Leffek,28931,444,0.02,66
176,Conny,Pardew,64143,829,2.8,29
177,Harvey,Betz,46084,794,6.86,61
178,Pall,Miell,46591,511,5.18,61
179,Rollin,Canto,39657,456,7.27,72
180,Russ,Klaas,68783,538,7.29,33
181,Catlee,Belfield,53702,806,0.6,43
182,Nancie,Beaglehole,57878,592,7.76,53
183,Haley,Verner,32147,315,5.24,52
184,Viki,Pinchon,45642,783,6.8,34
185,Kylynn,Trask,50378,538,9.67,49
186,Gretchen,Leversha,48887,603,2.72,46
187,Micky,Arpino,33288,722,7.41,55
188,Laurene,Bullocke,40922,313,6.74,78
189,Buffy,Marshall,56925,675,4.86,37
190,Duky,Grabeham,60271,614,0.03,22
191,Dimitry,Klaas,44010,656,8.43,24
192,Yancy,MacCallester,36912,625,5.79,72
193,Lonny,Hurring,37202,672,3.97,18
194,Georgie,Van Son,57946,711,0.2,18
195,Viola,Acome,47640,381,9.8,64
196,Odessa,Carnson,46892,695,2.09,32
197,Dyana,Durran,43863,671,2.71,24
198,Donella,MacCleod,55138,311,7.01,26
199,Brok,Revill,47851,759,9.67,29
200,Langston,Jeaneau,39454,643,9.59,38
201,Tessi,Creyke,38891,379,1.09,63
202,Elka,Barkley,45619,573,8.96,34
203,Wallache,Astlett,39398,468,4.67,34
204,Kara,Courtenay,59171,753,9.99,28
205,Berkley,Roney,39771,466,5.81,20
206,Gerrilee,Mackney,41723,811,2.6,18
207,Rowan,Boundy,48977,493,1.98,24
208,Chas,Blewis,43143,469,5.19,63
209,Debor,Deas,40638,385,4.88,58
210,Rusty,Kingswood,54700,562,5.45,55
211,Magda,Chillingworth,48590,655,9.52,62
212,Hedvige,Aplin,38840,607,6.14,62
213,Winny,Feathers,49506,731,1.28,41
214,Adelheid,Ida,32937,837,6.57,60
215,Rafaellle,Lackney,43768,811,6.87,68
216,Jade,Belderson,50555,504,3.02,18
217,Morgen,Thireau,50578,824,4.44,48
218,Trip,Hulland,58207,593,6.95,77
219,Misha,Bocock,50761,829,1.07,78
220,Teador,Dabnot,38935,697,2.92,18
221,Drona,Blown,55748,769,4.35,58
222,Florinda,Wisdish,56800,551,6.19,21
223,Field,Kovalski,50579,488,9.22,47
224,Auguste,Troctor,41837,686,7.54,64
225,Edeline,Pietrowski,40472,640,7.04,23
226,Jeffy,Greenside,41560,474,5.64,54
227,Bennie,Culbert,48502,747,3.54,40
228,Darill,Ballintyne,48154,495,8.17,58
229,Udell,Baldacchino,51243,671,5.88,46
230,Lorilee,Ferreo,35482,737,6.73,74
231,Betteanne,Rings,33980,843,8.66,67
232,Kiley,Steaning,45512,650,3.03,66
233,Rochella,Sember,35750,662,7.77,47
234,Clarinda,Henryson,51483,525,7.86,76
235,Fonz,Diess,56061,360,8.94,25
236,Ricard,Ballston,34162,305,9.69,75
237,Dewie,Dawnay,47743,808,4.19,54
238,Maitilde,Musla,49731,672,0.68,41
239,Lorelei,Gwillyam,39647,467,2.48,50
240,Nickey,Furbank,43749,690,9.55,28
241,Fredrika,Thick,73647,735,0.62,20
242,Blane,Jime,45873,743,2.23,54
243,Isadora,Boundley,28634,486,3.49,42
244,Darby,Giovanardi,69988,368,4.56,41
245,Rodrigo,Troy,40292,326,7.78,72
246,Hector,Verrall,33641,655,6.71,27
247,Ethelin,Pikhno,48622,502,0.36,21
248,Reinold,Tivolier,38555,645,2.17,58
249,Carol,Tigner,45943,515,0.24,63
250,Vivianna,Saffrin,54918,658,9.37,63
251,Engelbert,Begbie,59111,394,2.44,24
252,Lindy,Powdrell,40175,504,2.6,77
253,Beatriz,Prahl,41735,798,6.33,44
254,Dina,Acarson,43804,606,7.06,62
255,Farr,Costa,51329,515,5.21,20
256,Vinny,Loggie,27860,817,0.89,48
257,Helaine,Lindenstrauss,49150,314,3.86,45
258,Lutero,Laverty,47133,584,5.87,28
259,Alvina,Bromell,56588,370,8.37,36
260,Jaclyn,Rigmond,49200,760,4.75,74
261,Tressa,Silcocks,46931,323,4.19,24
262,Claudetta,Oakenford,45925,351,3.36,63
263,Bree,Simcock,42889,442,4.58,61
264,Leodora,Ceillier,40459,807,9.26,32
265,Kaitlynn,Colbourne,48521,575,1.24,31
266,Baron,Edmondson,43054,458,5.18,26
267,Wain,Cockaday,50102,825,7.78,78
268,Hanson,McManamen,52136,541,3.71,23
269,Gaby,Lazare,60610,395,5.94,29
270,Lori,Blewis,52960,826,7.07,33
271,Linda,Woolmore,43855,378,7.7,71
272,Munroe,Skade,51766,551,3.27,27
273,Yolanda,Athridge,24740,681,2.9,33
274,Bertrand,Witton,59362,734,2.81,54
275,Orland,Townley,48699,753,7.07,75
276,Donielle,Baiyle,34724,670,3.42,50
277,Hildegarde,Shuter,33377,596,0.79,67
278,Savina,Jocelyn,40824,616,4.72,27
279,Francesco,Echallier,48270,739,0.86,19
280,Marinna,Splevins,33196,784,5.65,25
281,Kanya,O' Hern,49206,678,5.63,49
282,Murdoch,McGowing,52015,757,9.84,18
283,Theadora,Shaves,34430,807,8.85,77
284,Gerhardt,Philipet,42799,582,2.51,74
285,Granville,Feltham,42018,662,5.81,67
286,Cathyleen,Compston,35060,353,8.05,74
287,Raffarty,Bustard,50900,674,5.17,50
288,Opaline,Mincher,42787,660,5.31,63
289,Mirelle,Sisse,30397,370,1.1,47
290,Alma,Zecchetti,46806,808,1.53,25
291,Judi,Ramas,46367,659,1.77,77
292,Neale,Naylor,38059,419,8.09,44
293,Rivalee,Lewis,49761,788,5.36,68
294,Herold,Eidler,35972,317,6.73,47
295,Michell,Bansal,43362,757,9.57,32
296,Marquita,Rampling,44546,674,6.68,45
297,Jennie,Sire,51489,743,2.36,20
298,Farley,Dufton,46584,691,7.25,54
299,Kally,Ashard,46862,472,6.05,26
300,Rayner,Stookes,41646,438,6.17,22
301,Jerrome,Druce,37314,816,9.07,42
302,Sonnnie,Kenna,54193,301,8.71,77
303,Ginni,Artois,35157,804,7.49,61
304,Clint,Lipprose,47320,821,4.8,20
305,Nike,Danels,57708,354,4.44,79
306,Kathleen,Berrisford,37733,517,9.45,37
307,Anne-corinne,Handford,51729,776,6.29,53
308,Marion,Rispin,48140,537,9.32,66
309,Josefa,Ioan,51708,382,8.53,38
310,Toby,Bicknell,44516,598,7.78,45
311,Pepita,Ikringill,23765,455,7.49,67
312,Rivy,Brolechan,48363,735,8.45,24
313,Virgie,Spadaro,50115,371,5.88,62
314,Yard,Gabbidon,59580,499,9.05,53
315,Dilly,Sunnucks,42592,723,9.76,47
316,Fan,Storre,45521,430,4.89,74
317,Reena,Kupker,38714,514,4.83,62
318,Modesta,Maffulli,51209,307,3.38,33
319,Alexandr,Salvidge,46335,735,7.17,71
320,Lilllie,Penke,41672,608,1.03,27
321,Geoff,Santon,53362,315,8.13,74
322,Caralie,Blacktin,50991,740,4.85,69
323,Caye,Vallack,56904,451,3.94,44
324,Fifi,Symcox,67416,576,8.73,24
325,Kimbra,Hustings,51006,792,0.17,75
326,Greer,Budibent,56521,319,0.97,21
327,Gerome,Pomfrett,60143,674,9.64,58
328,Guss,Croce,40081,644,8.91,56
329,Torrence,Paulsson,48557,458,6.95,28
330,Gene,Hallet,51163,593,7.06,37
331,Tamarra,Piken,49397,825,6.83,47
332,Luci,Tolliday,51795,484,7.98,49
333,Justine,Butterick,33819,613,1.63,76
334,Tina,Phare,47921,495,5.2,56
335,Colly,Toal,42106,510,7.94,30
336,Ethan,Cadman,48745,359,1.12,44
337,Chariot,Stolte,54184,586,6.22,40
338,Fabe,Bugler,40982,626,0.33,24
339,Babbie,Truett,38215,331,4.27,40
340,Ad,Franciskiewicz,29712,592,5.15,44
341,Hiram,Pond,38726,312,1.66,68
342,Nick,Laslett,58475,593,9.41,36
343,Margeaux,Wathey,36360,727,7.17,58
344,Elmira,Sexty,56519,807,7.08,44
345,Marlo,Ickovitz,41534,788,0.36,39
346,Lenka,Avory,41060,575,6.56,38
347,Dinnie,Butting,55848,743,7.96,30
348,Karl,Nice,48876,354,3.18,59
349,Abie,Killshaw,46358,412,0.91,28
350,Henryetta,Glasebrook,43061,597,5.21,22
351,Estrella,Hurdle,37356,501,6.62,54
352,Kathe,Moggach,46472,804,2.52,74
353,Abeu,Meriet,38826,661,3.07,49
354,Biddie,Jacklin,35633,428,4.6,27
355,Bald,Rosa,45696,729,2.7,53
356,Blinny,Headings,41599,415,1.48,67
357,Andrei,Hallor,47631,786,6.44,65
358,Oran,Hazlegrove,40388,780,9.81,58
